NA
2020-07-16 17:14:05 19/4800: dim(data)=50000x(50+25),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 17:37:10 20/4800: dim(data)=100000x(50+25),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 17:48:22 21/4800: dim(data)=5000x(5+5),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 18:02:53 22/4800: dim(data)=10000x(5+5),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 18:17:48 23/4800: dim(data)=20000x(5+5),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 18:37:22 24/4800: dim(data)=50000x(5+5),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 19:03:14 25/4800: dim(data)=100000x(5+5),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 19:22:50 26/4800: dim(data)=5000x(10+10),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 19:38:32 27/4800: dim(data)=10000x(10+10),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 19:45:59 28/4800: dim(data)=20000x(10+10),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 19:58:51 29/4800: dim(data)=50000x(10+10),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 20:10:20 30/4800: dim(data)=100000x(10+10),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 20:40:33 31/4800: dim(data)=5000x(20+20),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 21:01:56 32/4800: dim(data)=10000x(20+20),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 21:22:32 33/4800: dim(data)=20000x(20+20),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 21:28:52 34/4800: dim(data)=50000x(20+20),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 21:44:53 35/4800: dim(data)=100000x(20+20),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 21:59:50 36/4800: dim(data)=5000x(50+50),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 22:36:12 37/4800: dim(data)=10000x(50+50),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 22:45:18 38/4800: dim(data)=20000x(50+50),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 23:28:58 39/4800: dim(data)=50000x(50+50),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-16 23:58:40 40/4800: dim(data)=100000x(50+50),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 00:03:29 41/4800: dim(data)=5000x(5+10),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 00:19:19 42/4800: dim(data)=10000x(5+10),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 00:35:35 43/4800: dim(data)=20000x(5+10),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 00:58:17 44/4800: dim(data)=50000x(5+10),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 01:32:40 45/4800: dim(data)=100000x(5+10),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 02:19:16 46/4800: dim(data)=5000x(10+20),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 02:24:59 47/4800: dim(data)=10000x(10+20),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 02:38:51 48/4800: dim(data)=20000x(10+20),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 02:49:44 49/4800: dim(data)=50000x(10+20),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 03:09:32 50/4800: dim(data)=100000x(10+20),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 03:42:52 51/4800: dim(data)=5000x(20+40),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 04:08:43 52/4800: dim(data)=10000x(20+40),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 04:41:11 53/4800: dim(data)=20000x(20+40),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
2020-07-17 04:46:30 54/4800: dim(data)=50000x(20+40),  rep=1,  signal-to-noise-ratio=0.1,  bm-dir=bm-scripts/categorical/memory
