### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9486]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9486 (seed = 40901) ...
  1/200   risk = 0.12  time = 0   
  5/200   risk = 0.087  time = 328   
 10/200   risk = 0.064  time = 653   
 15/200   risk = 0.049  time = 968   
 20/200   risk = 0.04  time = 1288   
 25/200   risk = 0.034  time = 1609   
 30/200   risk = 0.03  time = 1931   
 35/200   risk = 0.028  time = 2262   
 40/200   risk = 0.026  time = 2574   
 45/200   risk = 0.025  time = 2886   
 50/200   risk = 0.024  time = 3203   
 55/200   risk = 0.024  time = 3519   
 60/200   risk = 0.024  time = 3841   
 65/200   risk = 0.023  time = 4164   
 70/200   risk = 0.023  time = 4483   
 75/200   risk = 0.023  time = 4803   
 80/200   risk = 0.023  time = 5122   
 85/200   risk = 0.023  time = 5446   
 90/200   risk = 0.022  time = 5758   
 95/200   risk = 0.022  time = 6072   
100/200   risk = 0.022  time = 6392   
105/200   risk = 0.022  time = 6708   
110/200   risk = 0.022  time = 7028   
115/200   risk = 0.022  time = 7348   
120/200   risk = 0.022  time = 7667   
125/200   risk = 0.022  time = 7985   
130/200   risk = 0.022  time = 8311   
135/200   risk = 0.022  time = 8638   
140/200   risk = 0.022  time = 8960   
145/200   risk = 0.021  time = 9291   
150/200   risk = 0.021  time = 9603   
155/200   risk = 0.021  time = 9916   
160/200   risk = 0.021  time = 10270   
165/200   risk = 0.021  time = 10581   
170/200   risk = 0.021  time = 10889   
175/200   risk = 0.021  time = 11198   
180/200   risk = 0.021  time = 11508   
185/200   risk = 0.021  time = 11819   
190/200   risk = 0.021  time = 12129   
195/200   risk = 0.021  time = 12441   
200/200   risk = 0.021  time = 12747   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=9486]
### [bt]: Calculation finished!
