### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6811]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6811 (seed = 38226) ...
  1/200   risk = 0.18  time = 0   
  5/200   risk = 0.13  time = 275   
 10/200   risk = 0.094  time = 471   
 15/200   risk = 0.069  time = 659   
 20/200   risk = 0.053  time = 851   
 25/200   risk = 0.043  time = 1025   
 30/200   risk = 0.037  time = 1203   
 35/200   risk = 0.033  time = 1382   
 40/200   risk = 0.03  time = 1600   
 45/200   risk = 0.028  time = 1843   
 50/200   risk = 0.027  time = 2063   
 55/200   risk = 0.026  time = 2267   
 60/200   risk = 0.025  time = 2457   
 65/200   risk = 0.025  time = 2650   
 70/200   risk = 0.024  time = 2854   
 75/200   risk = 0.024  time = 3044   
 80/200   risk = 0.023  time = 3239   
 85/200   risk = 0.023  time = 3437   
 90/200   risk = 0.023  time = 3630   
 95/200   risk = 0.023  time = 3820   
100/200   risk = 0.022  time = 4012   
105/200   risk = 0.022  time = 4204   
110/200   risk = 0.022  time = 4403   
115/200   risk = 0.022  time = 4604   
120/200   risk = 0.022  time = 4800   
125/200   risk = 0.022  time = 5013   
130/200   risk = 0.022  time = 5234   
135/200   risk = 0.022  time = 5479   
140/200   risk = 0.021  time = 5680   
145/200   risk = 0.021  time = 5888   
150/200   risk = 0.021  time = 6087   
155/200   risk = 0.021  time = 6292   
160/200   risk = 0.021  time = 6494   
165/200   risk = 0.021  time = 6698   
170/200   risk = 0.021  time = 6907   
175/200   risk = 0.021  time = 7109   
180/200   risk = 0.021  time = 7317   
185/200   risk = 0.021  time = 7524   
190/200   risk = 0.021  time = 7740   
195/200   risk = 0.021  time = 7966   
200/200   risk = 0.021  time = 8179   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=6811]
### [bt]: Calculation finished!
