### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7221]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7221 (seed = 38636) ...
  1/200   risk = 0.19  time = 0   
  5/200   risk = 0.14  time = 235   
 10/200   risk = 0.096  time = 428   
 15/200   risk = 0.069  time = 613   
 20/200   risk = 0.052  time = 797   
 25/200   risk = 0.041  time = 981   
 30/200   risk = 0.034  time = 1196   
 35/200   risk = 0.03  time = 1393   
 40/200   risk = 0.027  time = 1595   
 45/200   risk = 0.025  time = 1800   
 50/200   risk = 0.024  time = 2009   
 55/200   risk = 0.023  time = 2226   
 60/200   risk = 0.022  time = 2426   
 65/200   risk = 0.022  time = 2630   
 70/200   risk = 0.022  time = 2848   
 75/200   risk = 0.021  time = 3056   
 80/200   risk = 0.021  time = 3241   
 85/200   risk = 0.021  time = 3427   
 90/200   risk = 0.021  time = 3613   
 95/200   risk = 0.021  time = 3800   
100/200   risk = 0.021  time = 3988   
105/200   risk = 0.02  time = 4176   
110/200   risk = 0.02  time = 4367   
115/200   risk = 0.02  time = 4558   
120/200   risk = 0.02  time = 4748   
125/200   risk = 0.02  time = 4939   
130/200   risk = 0.02  time = 5133   
135/200   risk = 0.02  time = 5327   
140/200   risk = 0.02  time = 5521   
145/200   risk = 0.02  time = 5716   
150/200   risk = 0.02  time = 5927   
155/200   risk = 0.02  time = 6187   
160/200   risk = 0.02  time = 6394   
165/200   risk = 0.02  time = 6597   
170/200   risk = 0.02  time = 6802   
175/200   risk = 0.02  time = 7025   
180/200   risk = 0.02  time = 7225   
185/200   risk = 0.02  time = 7427   
190/200   risk = 0.02  time = 7629   
195/200   risk = 0.02  time = 7832   
200/200   risk = 0.02  time = 8058   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=7221]
### [bt]: Calculation finished!
