### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4350]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4350 (seed = 35765) ...
  1/200   risk = 0.2  time = 0   
  5/200   risk = 0.15  time = 2293   
 10/200   risk = 0.11  time = 5077   
 15/200   risk = 0.081  time = 7846   
 20/200   risk = 0.064  time = 10619   
 25/200   risk = 0.053  time = 13776   
 30/200   risk = 0.045  time = 16710   
 35/200   risk = 0.04  time = 19586   
 40/200   risk = 0.036  time = 22455   
 45/200   risk = 0.033  time = 25444   
 50/200   risk = 0.032  time = 28316   
 55/200   risk = 0.03  time = 31158   
 60/200   risk = 0.029  time = 34033   
 65/200   risk = 0.028  time = 36963   
 70/200   risk = 0.028  time = 40641   
 75/200   risk = 0.027  time = 43638   
 80/200   risk = 0.027  time = 46519   
 85/200   risk = 0.026  time = 49392   
 90/200   risk = 0.026  time = 52292   
 95/200   risk = 0.025  time = 55358   
100/200   risk = 0.025  time = 59146   
105/200   risk = 0.025  time = 62142   
110/200   risk = 0.025  time = 65049   
115/200   risk = 0.025  time = 67984   
120/200   risk = 0.024  time = 70895   
125/200   risk = 0.024  time = 74634   
130/200   risk = 0.024  time = 77717   
135/200   risk = 0.024  time = 80926   
140/200   risk = 0.024  time = 83931   
145/200   risk = 0.024  time = 86974   
150/200   risk = 0.024  time = 90968   
155/200   risk = 0.024  time = 94048   
160/200   risk = 0.023  time = 97161   
165/200   risk = 0.023  time = 100189   
170/200   risk = 0.023  time = 103214   
175/200   risk = 0.023  time = 106965   
180/200   risk = 0.023  time = 110139   
185/200   risk = 0.023  time = 113413   
190/200   risk = 0.023  time = 116592   
195/200   risk = 0.023  time = 119621   
200/200   risk = 0.023  time = 123649   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.023


### [bt]: Job terminated successfully [batchtools job.id=4350]
### [bt]: Calculation finished!
