### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4662]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4662 (seed = 36077) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 460   
 10/200   risk = 0.085  time = 920   
 15/200   risk = 0.064  time = 1303   
 20/200   risk = 0.05  time = 1695   
 25/200   risk = 0.042  time = 2089   
 30/200   risk = 0.036  time = 2487   
 35/200   risk = 0.032  time = 2881   
 40/200   risk = 0.029  time = 3269   
 45/200   risk = 0.027  time = 3660   
 50/200   risk = 0.026  time = 4088   
 55/200   risk = 0.025  time = 4486   
 60/200   risk = 0.024  time = 4896   
 65/200   risk = 0.024  time = 5298   
 70/200   risk = 0.024  time = 5702   
 75/200   risk = 0.023  time = 6100   
 80/200   risk = 0.023  time = 6533   
 85/200   risk = 0.023  time = 6918   
 90/200   risk = 0.023  time = 7293   
 95/200   risk = 0.023  time = 7677   
100/200   risk = 0.022  time = 8056   
105/200   risk = 0.022  time = 8423   
110/200   risk = 0.022  time = 8792   
115/200   risk = 0.022  time = 9158   
120/200   risk = 0.022  time = 9523   
125/200   risk = 0.022  time = 9889   
130/200   risk = 0.022  time = 10261   
135/200   risk = 0.022  time = 10634   
140/200   risk = 0.022  time = 11046   
145/200   risk = 0.022  time = 11443   
150/200   risk = 0.022  time = 11877   
155/200   risk = 0.022  time = 12322   
160/200   risk = 0.022  time = 12768   
165/200   risk = 0.022  time = 13218   
170/200   risk = 0.022  time = 13674   
175/200   risk = 0.021  time = 14167   
180/200   risk = 0.021  time = 14624   
185/200   risk = 0.021  time = 15096   
190/200   risk = 0.021  time = 15557   
195/200   risk = 0.021  time = 16032   
200/200   risk = 0.021  time = 16499   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=4662]
### [bt]: Calculation finished!
