### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5965]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5965 (seed = 37380) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.2  time = 14645   
 10/200   risk = 0.14  time = 33120   
 15/200   risk = 0.099  time = 34217   
 20/200   risk = 0.073  time = 35232   
 25/200   risk = 0.057  time = 36237   
 30/200   risk = 0.046  time = 37277   
 35/200   risk = 0.039  time = 43508   
 40/200   risk = 0.034  time = 45020   
 45/200   risk = 0.03  time = 50455   
 50/200   risk = 0.028  time = 51862   
 55/200   risk = 0.027  time = 53278   
 60/200   risk = 0.025  time = 54787   
 65/200   risk = 0.025  time = 56208   
 70/200   risk = 0.024  time = 70978   
 75/200   risk = 0.024  time = 73057   
 80/200   risk = 0.023  time = 76095   
 85/200   risk = 0.023  time = 79222   
 90/200   risk = 0.023  time = 82400   
 95/200   risk = 0.023  time = 85819   
100/200   risk = 0.023  time = 92447   
105/200   risk = 0.022  time = 95824   
110/200   risk = 0.022  time = 101675   
115/200   risk = 0.022  time = 105487   
120/200   risk = 0.022  time = 110589   
125/200   risk = 0.022  time = 115379   
130/200   risk = 0.022  time = 120039   
135/200   risk = 0.022  time = 124668   
140/200   risk = 0.022  time = 129282   
145/200   risk = 0.022  time = 133970   
150/200   risk = 0.022  time = 138528   
155/200   risk = 0.022  time = 143357   
160/200   risk = 0.022  time = 148825   
165/200   risk = 0.022  time = 154687   
170/200   risk = 0.022  time = 160576   
175/200   risk = 0.022  time = 166206   
180/200   risk = 0.022  time = 171396   
185/200   risk = 0.022  time = 177133   
190/200   risk = 0.022  time = 183220   
195/200   risk = 0.022  time = 189178   
200/200   risk = 0.022  time = 195016   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=5965]
### [bt]: Calculation finished!
