### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=2859]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 2859 (seed = 34274) ...
  1/200   risk = 0.3  time = 0   
  5/200   risk = 0.27  time = 127   
 10/200   risk = 0.24  time = 220   
 15/200   risk = 0.22  time = 287   
 20/200   risk = 0.2  time = 355   
 25/200   risk = 0.19  time = 423   
 30/200   risk = 0.18  time = 491   
 35/200   risk = 0.18  time = 560   
 40/200   risk = 0.17  time = 631   
 45/200   risk = 0.17  time = 706   
 50/200   risk = 0.16  time = 781   
 55/200   risk = 0.16  time = 855   
 60/200   risk = 0.16  time = 935   
 65/200   risk = 0.16  time = 1053   
 70/200   risk = 0.15  time = 1136   
 75/200   risk = 0.15  time = 1218   
 80/200   risk = 0.15  time = 1299   
 85/200   risk = 0.15  time = 1377   
 90/200   risk = 0.15  time = 1457   
 95/200   risk = 0.15  time = 1537   
100/200   risk = 0.15  time = 1619   
105/200   risk = 0.15  time = 1702   
110/200   risk = 0.15  time = 1785   
115/200   risk = 0.14  time = 1870   
120/200   risk = 0.14  time = 1955   
125/200   risk = 0.14  time = 2043   
130/200   risk = 0.14  time = 2134   
135/200   risk = 0.14  time = 2223   
140/200   risk = 0.14  time = 2311   
145/200   risk = 0.14  time = 2403   
150/200   risk = 0.14  time = 2493   
155/200   risk = 0.14  time = 2584   
160/200   risk = 0.14  time = 2691   
165/200   risk = 0.14  time = 2779   
170/200   risk = 0.14  time = 2868   
175/200   risk = 0.14  time = 2959   
180/200   risk = 0.14  time = 3051   
185/200   risk = 0.14  time = 3143   
190/200   risk = 0.14  time = 3236   
195/200   risk = 0.14  time = 3333   
200/200   risk = 0.14  time = 3469   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.14


### [bt]: Job terminated successfully [batchtools job.id=2859]
### [bt]: Calculation finished!
