### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4591]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4591 (seed = 36006) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 160   
 10/200   risk = 0.083  time = 259   
 15/200   risk = 0.063  time = 360   
 20/200   risk = 0.049  time = 450   
 25/200   risk = 0.041  time = 540   
 30/200   risk = 0.035  time = 638   
 35/200   risk = 0.031  time = 730   
 40/200   risk = 0.028  time = 827   
 45/200   risk = 0.027  time = 955   
 50/200   risk = 0.025  time = 1062   
 55/200   risk = 0.024  time = 1181   
 60/200   risk = 0.024  time = 1283   
 65/200   risk = 0.023  time = 1393   
 70/200   risk = 0.023  time = 1498   
 75/200   risk = 0.023  time = 1599   
 80/200   risk = 0.022  time = 1702   
 85/200   risk = 0.022  time = 1805   
 90/200   risk = 0.022  time = 1916   
 95/200   risk = 0.022  time = 2022   
100/200   risk = 0.022  time = 2133   
105/200   risk = 0.022  time = 2245   
110/200   risk = 0.022  time = 2353   
115/200   risk = 0.022  time = 2460   
120/200   risk = 0.022  time = 2575   
125/200   risk = 0.021  time = 2693   
130/200   risk = 0.021  time = 2814   
135/200   risk = 0.021  time = 2926   
140/200   risk = 0.021  time = 3038   
145/200   risk = 0.021  time = 3158   
150/200   risk = 0.021  time = 3277   
155/200   risk = 0.021  time = 3416   
160/200   risk = 0.021  time = 3546   
165/200   risk = 0.021  time = 3655   
170/200   risk = 0.021  time = 3766   
175/200   risk = 0.021  time = 3876   
180/200   risk = 0.021  time = 3988   
185/200   risk = 0.021  time = 4100   
190/200   risk = 0.021  time = 4212   
195/200   risk = 0.021  time = 4352   
200/200   risk = 0.021  time = 4474   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=4591]
### [bt]: Calculation finished!
