### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10439]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10439 (seed = 41854) ...
  1/200   risk = 0.2  time = 0   
  5/200   risk = 0.14  time = 228   
 10/200   risk = 0.095  time = 414   
 15/200   risk = 0.066  time = 589   
 20/200   risk = 0.048  time = 764   
 25/200   risk = 0.037  time = 938   
 30/200   risk = 0.031  time = 1118   
 35/200   risk = 0.026  time = 1299   
 40/200   risk = 0.024  time = 1511   
 45/200   risk = 0.022  time = 1698   
 50/200   risk = 0.021  time = 1878   
 55/200   risk = 0.02  time = 2057   
 60/200   risk = 0.02  time = 2246   
 65/200   risk = 0.02  time = 2437   
 70/200   risk = 0.019  time = 2623   
 75/200   risk = 0.019  time = 2808   
 80/200   risk = 0.019  time = 2992   
 85/200   risk = 0.019  time = 3177   
 90/200   risk = 0.019  time = 3379   
 95/200   risk = 0.019  time = 3568   
100/200   risk = 0.019  time = 3756   
105/200   risk = 0.018  time = 3945   
110/200   risk = 0.018  time = 4136   
115/200   risk = 0.018  time = 4332   
120/200   risk = 0.018  time = 4538   
125/200   risk = 0.018  time = 4730   
130/200   risk = 0.018  time = 4963   
135/200   risk = 0.018  time = 5160   
140/200   risk = 0.018  time = 5360   
145/200   risk = 0.018  time = 5567   
150/200   risk = 0.018  time = 5773   
155/200   risk = 0.018  time = 5970   
160/200   risk = 0.018  time = 6166   
165/200   risk = 0.018  time = 6363   
170/200   risk = 0.018  time = 6562   
175/200   risk = 0.018  time = 6762   
180/200   risk = 0.018  time = 6962   
185/200   risk = 0.018  time = 7225   
190/200   risk = 0.018  time = 7452   
195/200   risk = 0.018  time = 7656   
200/200   risk = 0.018  time = 7858   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.018


### [bt]: Job terminated successfully [batchtools job.id=10439]
### [bt]: Calculation finished!
