### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7523]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7523 (seed = 38938) ...
  1/200   risk = 0.19  time = 0   
  5/200   risk = 0.14  time = 2605   
 10/200   risk = 0.098  time = 5717   
 15/200   risk = 0.071  time = 8807   
 20/200   risk = 0.054  time = 11915   
 25/200   risk = 0.043  time = 15031   
 30/200   risk = 0.036  time = 18056   
 35/200   risk = 0.032  time = 21059   
 40/200   risk = 0.029  time = 24076   
 45/200   risk = 0.027  time = 26962   
 50/200   risk = 0.025  time = 29990   
 55/200   risk = 0.024  time = 33018   
 60/200   risk = 0.023  time = 36032   
 65/200   risk = 0.023  time = 39009   
 70/200   risk = 0.022  time = 41906   
 75/200   risk = 0.022  time = 44813   
 80/200   risk = 0.022  time = 47708   
 85/200   risk = 0.022  time = 50604   
 90/200   risk = 0.021  time = 53598   
 95/200   risk = 0.021  time = 56605   
100/200   risk = 0.021  time = 59515   
105/200   risk = 0.021  time = 62438   
110/200   risk = 0.021  time = 65350   
115/200   risk = 0.021  time = 68255   
120/200   risk = 0.021  time = 71153   
125/200   risk = 0.021  time = 74056   
130/200   risk = 0.021  time = 76954   
135/200   risk = 0.021  time = 79851   
140/200   risk = 0.02  time = 82769   
145/200   risk = 0.02  time = 85705   
150/200   risk = 0.02  time = 88696   
155/200   risk = 0.02  time = 91717   
160/200   risk = 0.02  time = 94719   
165/200   risk = 0.02  time = 99398   
170/200   risk = 0.02  time = 104318   
175/200   risk = 0.02  time = 109208   
180/200   risk = 0.02  time = 114169   
185/200   risk = 0.02  time = 119233   
190/200   risk = 0.02  time = 124482   
195/200   risk = 0.02  time = 127947   
200/200   risk = 0.02  time = 131009   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=7523]
### [bt]: Calculation finished!
