### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=2597]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 2597 (seed = 34012) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.24  time = 244   
 10/200   risk = 0.2  time = 438   
 15/200   risk = 0.17  time = 598   
 20/200   risk = 0.15  time = 762   
 25/200   risk = 0.13  time = 922   
 30/200   risk = 0.12  time = 1079   
 35/200   risk = 0.11  time = 1230   
 40/200   risk = 0.11  time = 1385   
 45/200   risk = 0.1  time = 1549   
 50/200   risk = 0.096  time = 1708   
 55/200   risk = 0.093  time = 1871   
 60/200   risk = 0.09  time = 2040   
 65/200   risk = 0.088  time = 2205   
 70/200   risk = 0.086  time = 2372   
 75/200   risk = 0.084  time = 2539   
 80/200   risk = 0.082  time = 2708   
 85/200   risk = 0.081  time = 2879   
 90/200   risk = 0.08  time = 3051   
 95/200   risk = 0.079  time = 3220   
100/200   risk = 0.078  time = 3386   
105/200   risk = 0.077  time = 3562   
110/200   risk = 0.077  time = 3751   
115/200   risk = 0.076  time = 3934   
120/200   risk = 0.075  time = 4117   
125/200   risk = 0.075  time = 4293   
130/200   risk = 0.074  time = 4500   
135/200   risk = 0.074  time = 4684   
140/200   risk = 0.073  time = 4868   
145/200   risk = 0.073  time = 5054   
150/200   risk = 0.072  time = 5245   
155/200   risk = 0.072  time = 5428   
160/200   risk = 0.072  time = 5610   
165/200   risk = 0.071  time = 5787   
170/200   risk = 0.071  time = 5968   
175/200   risk = 0.071  time = 6158   
180/200   risk = 0.07  time = 6365   
185/200   risk = 0.07  time = 6566   
190/200   risk = 0.07  time = 6757   
195/200   risk = 0.07  time = 6959   
200/200   risk = 0.069  time = 7191   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.069


### [bt]: Job terminated successfully [batchtools job.id=2597]
### [bt]: Calculation finished!
