### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=12606]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 12606 (seed = 44021) ...
  1/200   risk = 0.25  time = 0   
  5/200   risk = 0.17  time = 1321   
 10/200   risk = 0.11  time = 2855   
 15/200   risk = 0.077  time = 4378   
 20/200   risk = 0.056  time = 5985   
 25/200   risk = 0.042  time = 7540   
 30/200   risk = 0.034  time = 9085   
 35/200   risk = 0.029  time = 10627   
 40/200   risk = 0.026  time = 12192   
 45/200   risk = 0.024  time = 13704   
 50/200   risk = 0.023  time = 15211   
 55/200   risk = 0.022  time = 16703   
 60/200   risk = 0.022  time = 18234   
 65/200   risk = 0.022  time = 19775   
 70/200   risk = 0.021  time = 21335   
 75/200   risk = 0.021  time = 22888   
 80/200   risk = 0.021  time = 24437   
 85/200   risk = 0.021  time = 25944   
 90/200   risk = 0.021  time = 27424   
 95/200   risk = 0.021  time = 28928   
100/200   risk = 0.021  time = 30423   
105/200   risk = 0.021  time = 32050   
110/200   risk = 0.021  time = 33556   
115/200   risk = 0.021  time = 35319   
120/200   risk = 0.021  time = 36820   
125/200   risk = 0.021  time = 38330   
130/200   risk = 0.021  time = 39831   
135/200   risk = 0.021  time = 41344   
140/200   risk = 0.021  time = 42836   
145/200   risk = 0.021  time = 44290   
150/200   risk = 0.021  time = 45757   
155/200   risk = 0.021  time = 47214   
160/200   risk = 0.021  time = 48756   
165/200   risk = 0.021  time = 50167   
170/200   risk = 0.021  time = 51579   
175/200   risk = 0.021  time = 53056   
180/200   risk = 0.021  time = 54464   
185/200   risk = 0.021  time = 55930   
190/200   risk = 0.021  time = 57353   
195/200   risk = 0.021  time = 58771   
200/200   risk = 0.021  time = 60182   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=12606]
### [bt]: Calculation finished!
