### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11638]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11638 (seed = 43053) ...
  1/200   risk = 0.063  time = 0   
  5/200   risk = 0.05  time = 305   
 10/200   risk = 0.039  time = 629   
 15/200   risk = 0.032  time = 940   
 20/200   risk = 0.028  time = 1234   
 25/200   risk = 0.025  time = 1530   
 30/200   risk = 0.023  time = 1839   
 35/200   risk = 0.021  time = 2141   
 40/200   risk = 0.021  time = 2441   
 45/200   risk = 0.02  time = 2750   
 50/200   risk = 0.02  time = 3040   
 55/200   risk = 0.019  time = 3329   
 60/200   risk = 0.019  time = 3627   
 65/200   risk = 0.019  time = 3919   
 70/200   risk = 0.019  time = 4146   
 75/200   risk = 0.019  time = 4328   
 80/200   risk = 0.019  time = 4506   
 85/200   risk = 0.019  time = 4683   
 90/200   risk = 0.019  time = 4862   
 95/200   risk = 0.019  time = 5046   
100/200   risk = 0.019  time = 5271   
105/200   risk = 0.019  time = 5457   
110/200   risk = 0.019  time = 5639   
115/200   risk = 0.019  time = 5831   
120/200   risk = 0.019  time = 6009   
125/200   risk = 0.019  time = 6190   
130/200   risk = 0.019  time = 6374   
135/200   risk = 0.019  time = 6557   
140/200   risk = 0.019  time = 6741   
145/200   risk = 0.019  time = 6926   
150/200   risk = 0.019  time = 7109   
155/200   risk = 0.019  time = 7294   
160/200   risk = 0.018  time = 7483   
165/200   risk = 0.018  time = 7671   
170/200   risk = 0.018  time = 7859   
175/200   risk = 0.018  time = 8059   
180/200   risk = 0.018  time = 8250   
185/200   risk = 0.018  time = 8438   
190/200   risk = 0.018  time = 8648   
195/200   risk = 0.018  time = 8843   
200/200   risk = 0.018  time = 9034   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.018


### [bt]: Job terminated successfully [batchtools job.id=11638]
### [bt]: Calculation finished!
