### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5036]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5036 (seed = 36451) ...
  1/200   risk = 0.12  time = 0   
  5/200   risk = 0.09  time = 2095   
 10/200   risk = 0.067  time = 4537   
 15/200   risk = 0.052  time = 6994   
 20/200   risk = 0.042  time = 9530   
 25/200   risk = 0.036  time = 12000   
 30/200   risk = 0.032  time = 14432   
 35/200   risk = 0.029  time = 16393   
 40/200   risk = 0.027  time = 17941   
 45/200   risk = 0.026  time = 19477   
 50/200   risk = 0.025  time = 21021   
 55/200   risk = 0.024  time = 22552   
 60/200   risk = 0.024  time = 24109   
 65/200   risk = 0.023  time = 25653   
 70/200   risk = 0.023  time = 27194   
 75/200   risk = 0.023  time = 28724   
 80/200   risk = 0.023  time = 30262   
 85/200   risk = 0.022  time = 31831   
 90/200   risk = 0.022  time = 33372   
 95/200   risk = 0.022  time = 34925   
100/200   risk = 0.022  time = 36475   
105/200   risk = 0.022  time = 38018   
110/200   risk = 0.022  time = 39564   
115/200   risk = 0.022  time = 41108   
120/200   risk = 0.022  time = 42654   
125/200   risk = 0.022  time = 44224   
130/200   risk = 0.022  time = 45820   
135/200   risk = 0.022  time = 47381   
140/200   risk = 0.022  time = 48971   
145/200   risk = 0.021  time = 50522   
150/200   risk = 0.021  time = 52025   
155/200   risk = 0.021  time = 53572   
160/200   risk = 0.021  time = 55155   
165/200   risk = 0.021  time = 56701   
170/200   risk = 0.021  time = 58257   
175/200   risk = 0.021  time = 59756   
180/200   risk = 0.021  time = 61258   
185/200   risk = 0.021  time = 62755   
190/200   risk = 0.021  time = 64272   
195/200   risk = 0.021  time = 65773   
200/200   risk = 0.021  time = 67266   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=5036]
### [bt]: Calculation finished!
