### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=13123]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 13123 (seed = 44538) ...
  1/200   risk = 0.17  time = 0   
  5/200   risk = 0.12  time = 2454   
 10/200   risk = 0.081  time = 5413   
 15/200   risk = 0.058  time = 8294   
 20/200   risk = 0.044  time = 11134   
 25/200   risk = 0.035  time = 13941   
 30/200   risk = 0.03  time = 16759   
 35/200   risk = 0.027  time = 19558   
 40/200   risk = 0.025  time = 22437   
 45/200   risk = 0.023  time = 25316   
 50/200   risk = 0.023  time = 28245   
 55/200   risk = 0.022  time = 31075   
 60/200   risk = 0.022  time = 33860   
 65/200   risk = 0.022  time = 36719   
 70/200   risk = 0.021  time = 39601   
 75/200   risk = 0.021  time = 42357   
 80/200   risk = 0.021  time = 44964   
 85/200   risk = 0.021  time = 47576   
 90/200   risk = 0.021  time = 50260   
 95/200   risk = 0.021  time = 52972   
100/200   risk = 0.021  time = 55662   
105/200   risk = 0.021  time = 58427   
110/200   risk = 0.021  time = 61148   
115/200   risk = 0.021  time = 63910   
120/200   risk = 0.021  time = 66585   
125/200   risk = 0.021  time = 69314   
130/200   risk = 0.021  time = 72147   
135/200   risk = 0.02  time = 74872   
140/200   risk = 0.02  time = 77694   
145/200   risk = 0.02  time = 80387   
150/200   risk = 0.02  time = 83191   
155/200   risk = 0.02  time = 85952   
160/200   risk = 0.02  time = 88762   
165/200   risk = 0.02  time = 91527   
170/200   risk = 0.02  time = 94238   
175/200   risk = 0.02  time = 97029   
180/200   risk = 0.02  time = 99818   
185/200   risk = 0.02  time = 102614   
190/200   risk = 0.02  time = 105324   
195/200   risk = 0.02  time = 108098   
200/200   risk = 0.02  time = 110967   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=13123]
### [bt]: Calculation finished!
