### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11367]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11367 (seed = 42782) ...
  1/200   risk = 0.084  time = 0   
  5/200   risk = 0.066  time = 231   
 10/200   risk = 0.05  time = 380   
 15/200   risk = 0.041  time = 531   
 20/200   risk = 0.035  time = 670   
 25/200   risk = 0.031  time = 817   
 30/200   risk = 0.028  time = 962   
 35/200   risk = 0.026  time = 1105   
 40/200   risk = 0.025  time = 1249   
 45/200   risk = 0.024  time = 1390   
 50/200   risk = 0.024  time = 1526   
 55/200   risk = 0.023  time = 1669   
 60/200   risk = 0.023  time = 1821   
 65/200   risk = 0.023  time = 1986   
 70/200   risk = 0.023  time = 2138   
 75/200   risk = 0.022  time = 2288   
 80/200   risk = 0.022  time = 2438   
 85/200   risk = 0.022  time = 2591   
 90/200   risk = 0.022  time = 2745   
 95/200   risk = 0.022  time = 2896   
100/200   risk = 0.022  time = 3051   
105/200   risk = 0.022  time = 3217   
110/200   risk = 0.022  time = 3378   
115/200   risk = 0.022  time = 3534   
120/200   risk = 0.022  time = 3693   
125/200   risk = 0.022  time = 3865   
130/200   risk = 0.022  time = 4038   
135/200   risk = 0.022  time = 4193   
140/200   risk = 0.022  time = 4363   
145/200   risk = 0.022  time = 4536   
150/200   risk = 0.022  time = 4702   
155/200   risk = 0.022  time = 4867   
160/200   risk = 0.022  time = 5031   
165/200   risk = 0.022  time = 5198   
170/200   risk = 0.022  time = 5372   
175/200   risk = 0.022  time = 5538   
180/200   risk = 0.022  time = 5718   
185/200   risk = 0.022  time = 5890   
190/200   risk = 0.022  time = 6063   
195/200   risk = 0.022  time = 6239   
200/200   risk = 0.022  time = 6408   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=11367]
### [bt]: Calculation finished!
