### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8046]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8046 (seed = 39461) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.2  time = 361   
 10/200   risk = 0.13  time = 709   
 15/200   risk = 0.089  time = 1058   
 20/200   risk = 0.064  time = 1415   
 25/200   risk = 0.048  time = 1764   
 30/200   risk = 0.039  time = 2122   
 35/200   risk = 0.033  time = 2493   
 40/200   risk = 0.029  time = 2831   
 45/200   risk = 0.027  time = 3170   
 50/200   risk = 0.025  time = 3512   
 55/200   risk = 0.024  time = 3852   
 60/200   risk = 0.023  time = 4195   
 65/200   risk = 0.023  time = 4567   
 70/200   risk = 0.023  time = 4933   
 75/200   risk = 0.022  time = 5302   
 80/200   risk = 0.022  time = 5669   
 85/200   risk = 0.022  time = 6018   
 90/200   risk = 0.022  time = 6364   
 95/200   risk = 0.022  time = 6715   
100/200   risk = 0.022  time = 7068   
105/200   risk = 0.022  time = 7439   
110/200   risk = 0.021  time = 7795   
115/200   risk = 0.021  time = 8128   
120/200   risk = 0.021  time = 8469   
125/200   risk = 0.021  time = 8827   
130/200   risk = 0.021  time = 9180   
135/200   risk = 0.021  time = 9538   
140/200   risk = 0.021  time = 9889   
145/200   risk = 0.021  time = 10236   
150/200   risk = 0.021  time = 10586   
155/200   risk = 0.021  time = 10942   
160/200   risk = 0.021  time = 11289   
165/200   risk = 0.021  time = 11647   
170/200   risk = 0.021  time = 12000   
175/200   risk = 0.021  time = 12347   
180/200   risk = 0.021  time = 12697   
185/200   risk = 0.021  time = 13048   
190/200   risk = 0.021  time = 13399   
195/200   risk = 0.021  time = 13758   
200/200   risk = 0.021  time = 14142   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=8046]
### [bt]: Calculation finished!
