### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11924]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11924 (seed = 43339) ...
  1/200   risk = 0.08  time = 0   
  5/200   risk = 0.062  time = 2508   
 10/200   risk = 0.047  time = 5804   
 15/200   risk = 0.037  time = 8968   
 20/200   risk = 0.031  time = 12015   
 25/200   risk = 0.027  time = 15037   
 30/200   risk = 0.025  time = 18010   
 35/200   risk = 0.023  time = 20993   
 40/200   risk = 0.022  time = 23949   
 45/200   risk = 0.021  time = 26946   
 50/200   risk = 0.021  time = 29920   
 55/200   risk = 0.021  time = 32928   
 60/200   risk = 0.02  time = 36387   
 65/200   risk = 0.02  time = 40645   
 70/200   risk = 0.02  time = 44116   
 75/200   risk = 0.02  time = 47079   
 80/200   risk = 0.02  time = 50037   
 85/200   risk = 0.02  time = 53032   
 90/200   risk = 0.02  time = 56068   
 95/200   risk = 0.02  time = 59066   
100/200   risk = 0.02  time = 62069   
105/200   risk = 0.02  time = 65062   
110/200   risk = 0.02  time = 67996   
115/200   risk = 0.02  time = 70896   
120/200   risk = 0.02  time = 73937   
125/200   risk = 0.02  time = 76853   
130/200   risk = 0.02  time = 79891   
135/200   risk = 0.02  time = 82904   
140/200   risk = 0.02  time = 85868   
145/200   risk = 0.02  time = 88924   
150/200   risk = 0.02  time = 91925   
155/200   risk = 0.02  time = 94940   
160/200   risk = 0.02  time = 97910   
165/200   risk = 0.02  time = 100822   
170/200   risk = 0.02  time = 103732   
175/200   risk = 0.02  time = 106643   
180/200   risk = 0.02  time = 109559   
185/200   risk = 0.02  time = 112413   
190/200   risk = 0.02  time = 115350   
195/200   risk = 0.02  time = 118246   
200/200   risk = 0.02  time = 121113   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=11924]
### [bt]: Calculation finished!
