### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6393]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6393 (seed = 37808) ...
  1/200   risk = 0.23  time = 0   
  5/200   risk = 0.17  time = 12423   
 10/200   risk = 0.12  time = 24428   
 15/200   risk = 0.083  time = 34120   
 20/200   risk = 0.063  time = 44483   
 25/200   risk = 0.05  time = 53865   
 30/200   risk = 0.041  time = 62636   
 35/200   risk = 0.036  time = 71506   
 40/200   risk = 0.033  time = 80786   
 45/200   risk = 0.031  time = 93575   
 50/200   risk = 0.029  time = 102218   
 55/200   risk = 0.028  time = 110815   
 60/200   risk = 0.027  time = 119987   
 65/200   risk = 0.027  time = 133557   
 70/200   risk = 0.026  time = 141913   
 75/200   risk = 0.026  time = 150064   
 80/200   risk = 0.026  time = 158707   
 85/200   risk = 0.025  time = 167100   
 90/200   risk = 0.025  time = 177942   
 95/200   risk = 0.025  time = 187091   
100/200   risk = 0.025  time = 195926   
105/200   risk = 0.025  time = 204811   
110/200   risk = 0.025  time = 214341   
115/200   risk = 0.024  time = 222705   
120/200   risk = 0.024  time = 231572   
125/200   risk = 0.024  time = 269789   
130/200   risk = 0.024  time = 281883   
135/200   risk = 0.024  time = 291521   
140/200   risk = 0.024  time = 293785   
145/200   risk = 0.024  time = 311228   
150/200   risk = 0.024  time = 313488   
155/200   risk = 0.023  time = 325142   
160/200   risk = 0.023  time = 327387   
165/200   risk = 0.023  time = 329587   
170/200   risk = 0.023  time = 331849   
175/200   risk = 0.023  time = 334063   
180/200   risk = 0.023  time = 336278   
185/200   risk = 0.023  time = 338656   
190/200   risk = 0.023  time = 342041   
195/200   risk = 0.023  time = 348704   
200/200   risk = 0.023  time = 350712   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.023


### [bt]: Job terminated successfully [batchtools job.id=6393]
### [bt]: Calculation finished!
