### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=796]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 796 (seed = 32211) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.22  time = 5019   
 10/200   risk = 0.17  time = 6261   
 15/200   risk = 0.14  time = 7213   
 20/200   risk = 0.11  time = 8140   
 25/200   risk = 0.096  time = 9050   
 30/200   risk = 0.084  time = 9963   
 35/200   risk = 0.075  time = 10890   
 40/200   risk = 0.069  time = 11823   
 45/200   risk = 0.064  time = 12787   
 50/200   risk = 0.061  time = 13730   
 55/200   risk = 0.058  time = 42544   
 60/200   risk = 0.056  time = 43508   
 65/200   risk = 0.054  time = 44428   
 70/200   risk = 0.053  time = 45391   
 75/200   risk = 0.052  time = 46324   
 80/200   risk = 0.051  time = 47279   
 85/200   risk = 0.05  time = 48229   
 90/200   risk = 0.049  time = 61025   
 95/200   risk = 0.048  time = 78308   
100/200   risk = 0.048  time = 81475   
105/200   risk = 0.047  time = 83617   
110/200   risk = 0.047  time = 101586   
115/200   risk = 0.046  time = 102707   
120/200   risk = 0.046  time = 103772   
125/200   risk = 0.046  time = 109613   
130/200   risk = 0.045  time = 110873   
135/200   risk = 0.045  time = 112087   
140/200   risk = 0.045  time = 113305   
145/200   risk = 0.044  time = 121580   
150/200   risk = 0.044  time = 123012   
155/200   risk = 0.044  time = 124217   
160/200   risk = 0.044  time = 125368   
165/200   risk = 0.043  time = 130308   
170/200   risk = 0.043  time = 132254   
175/200   risk = 0.043  time = 133964   
180/200   risk = 0.043  time = 141072   
185/200   risk = 0.043  time = 148807   
190/200   risk = 0.042  time = 156998   
195/200   risk = 0.042  time = 159349   
200/200   risk = 0.042  time = 161946   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.042


### [bt]: Job terminated successfully [batchtools job.id=796]
### [bt]: Calculation finished!
