### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=13169]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 13169 (seed = 44584) ...
  1/200   risk = 0.17  time = 0   
  5/200   risk = 0.12  time = 961   
 10/200   risk = 0.081  time = 8285   
 15/200   risk = 0.058  time = 10547   
 20/200   risk = 0.044  time = 11912   
 25/200   risk = 0.035  time = 13256   
 30/200   risk = 0.03  time = 19539   
 35/200   risk = 0.027  time = 20996   
 40/200   risk = 0.025  time = 22140   
 45/200   risk = 0.024  time = 23276   
 50/200   risk = 0.023  time = 24606   
 55/200   risk = 0.022  time = 30842   
 60/200   risk = 0.022  time = 37930   
 65/200   risk = 0.022  time = 39597   
 70/200   risk = 0.021  time = 94488   
 75/200   risk = 0.021  time = 96020   
 80/200   risk = 0.021  time = 97510   
 85/200   risk = 0.021  time = 100646   
 90/200   risk = 0.021  time = 105346   
 95/200   risk = 0.021  time = 108343   
100/200   risk = 0.021  time = 110594   
105/200   risk = 0.021  time = 119272   
110/200   risk = 0.021  time = 120961   
115/200   risk = 0.021  time = 126624   
120/200   risk = 0.021  time = 128893   
125/200   risk = 0.021  time = 131245   
130/200   risk = 0.021  time = 133434   
135/200   risk = 0.021  time = 147195   
140/200   risk = 0.021  time = 149237   
145/200   risk = 0.021  time = 151549   
150/200   risk = 0.021  time = 153801   
155/200   risk = 0.021  time = 156111   
160/200   risk = 0.021  time = 161652   
165/200   risk = 0.021  time = 163979   
170/200   risk = 0.021  time = 166261   
175/200   risk = 0.021  time = 168574   
180/200   risk = 0.021  time = 174476   
185/200   risk = 0.021  time = 181192   
190/200   risk = 0.021  time = 186111   
195/200   risk = 0.021  time = 191536   
200/200   risk = 0.021  time = 196144   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=13169]
### [bt]: Calculation finished!
