### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11505]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11505 (seed = 42920) ...
  1/200   risk = 0.074  time = 0   
  5/200   risk = 0.058  time = 3180   
 10/200   risk = 0.045  time = 6342   
 15/200   risk = 0.037  time = 9656   
 20/200   risk = 0.031  time = 12818   
 25/200   risk = 0.028  time = 16187   
 30/200   risk = 0.026  time = 19253   
 35/200   risk = 0.024  time = 22210   
 40/200   risk = 0.023  time = 25338   
 45/200   risk = 0.022  time = 28133   
 50/200   risk = 0.022  time = 30963   
 55/200   risk = 0.021  time = 33885   
 60/200   risk = 0.021  time = 36776   
 65/200   risk = 0.021  time = 39733   
 70/200   risk = 0.021  time = 42676   
 75/200   risk = 0.021  time = 45978   
 80/200   risk = 0.021  time = 48848   
 85/200   risk = 0.02  time = 51694   
 90/200   risk = 0.02  time = 54647   
 95/200   risk = 0.02  time = 57551   
100/200   risk = 0.02  time = 60374   
105/200   risk = 0.02  time = 63199   
110/200   risk = 0.02  time = 66282   
115/200   risk = 0.02  time = 69319   
120/200   risk = 0.02  time = 72242   
125/200   risk = 0.02  time = 75243   
130/200   risk = 0.02  time = 78107   
135/200   risk = 0.02  time = 80957   
140/200   risk = 0.02  time = 83740   
145/200   risk = 0.02  time = 86752   
150/200   risk = 0.02  time = 89640   
155/200   risk = 0.02  time = 92595   
160/200   risk = 0.02  time = 95451   
165/200   risk = 0.02  time = 98413   
170/200   risk = 0.02  time = 101187   
175/200   risk = 0.02  time = 103921   
180/200   risk = 0.02  time = 106801   
185/200   risk = 0.02  time = 109620   
190/200   risk = 0.02  time = 112413   
195/200   risk = 0.02  time = 115203   
200/200   risk = 0.02  time = 117959   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=11505]
### [bt]: Calculation finished!
