### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11861]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11861 (seed = 43276) ...
  1/200   risk = 0.074  time = 0   
  5/200   risk = 0.058  time = 335   
 10/200   risk = 0.045  time = 769   
 15/200   risk = 0.036  time = 1132   
 20/200   risk = 0.03  time = 1494   
 25/200   risk = 0.027  time = 1854   
 30/200   risk = 0.025  time = 2177   
 35/200   risk = 0.023  time = 2431   
 40/200   risk = 0.022  time = 2681   
 45/200   risk = 0.022  time = 2925   
 50/200   risk = 0.021  time = 3169   
 55/200   risk = 0.021  time = 3411   
 60/200   risk = 0.021  time = 3668   
 65/200   risk = 0.021  time = 3917   
 70/200   risk = 0.021  time = 4162   
 75/200   risk = 0.021  time = 4407   
 80/200   risk = 0.021  time = 4651   
 85/200   risk = 0.02  time = 4900   
 90/200   risk = 0.02  time = 5146   
 95/200   risk = 0.02  time = 5398   
100/200   risk = 0.02  time = 5645   
105/200   risk = 0.02  time = 5907   
110/200   risk = 0.02  time = 6149   
115/200   risk = 0.02  time = 6399   
120/200   risk = 0.02  time = 6644   
125/200   risk = 0.02  time = 6921   
130/200   risk = 0.02  time = 7195   
135/200   risk = 0.02  time = 7453   
140/200   risk = 0.02  time = 7705   
145/200   risk = 0.02  time = 7962   
150/200   risk = 0.02  time = 8240   
155/200   risk = 0.02  time = 8498   
160/200   risk = 0.02  time = 8753   
165/200   risk = 0.02  time = 9008   
170/200   risk = 0.02  time = 9273   
175/200   risk = 0.02  time = 9532   
180/200   risk = 0.02  time = 9807   
185/200   risk = 0.02  time = 10059   
190/200   risk = 0.02  time = 10328   
195/200   risk = 0.02  time = 10585   
200/200   risk = 0.02  time = 10842   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=11861]
### [bt]: Calculation finished!
