### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10270]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10270 (seed = 41685) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.19  time = 415   
 10/200   risk = 0.13  time = 824   
 15/200   risk = 0.086  time = 1130   
 20/200   risk = 0.061  time = 1449   
 25/200   risk = 0.046  time = 1735   
 30/200   risk = 0.037  time = 2018   
 35/200   risk = 0.031  time = 2305   
 40/200   risk = 0.027  time = 2598   
 45/200   risk = 0.025  time = 2888   
 50/200   risk = 0.024  time = 3180   
 55/200   risk = 0.023  time = 3473   
 60/200   risk = 0.022  time = 3825   
 65/200   risk = 0.022  time = 4140   
 70/200   risk = 0.021  time = 4436   
 75/200   risk = 0.021  time = 4730   
 80/200   risk = 0.021  time = 5026   
 85/200   risk = 0.021  time = 5333   
 90/200   risk = 0.021  time = 5630   
 95/200   risk = 0.021  time = 5927   
100/200   risk = 0.021  time = 6228   
105/200   risk = 0.021  time = 6527   
110/200   risk = 0.021  time = 6828   
115/200   risk = 0.021  time = 7130   
120/200   risk = 0.021  time = 7465   
125/200   risk = 0.021  time = 7780   
130/200   risk = 0.021  time = 8105   
135/200   risk = 0.021  time = 8445   
140/200   risk = 0.02  time = 8916   
145/200   risk = 0.02  time = 9268   
150/200   risk = 0.02  time = 9584   
155/200   risk = 0.02  time = 9897   
160/200   risk = 0.02  time = 10214   
165/200   risk = 0.02  time = 10523   
170/200   risk = 0.02  time = 10853   
175/200   risk = 0.02  time = 11178   
180/200   risk = 0.02  time = 11538   
185/200   risk = 0.02  time = 11909   
190/200   risk = 0.02  time = 12234   
195/200   risk = 0.02  time = 12558   
200/200   risk = 0.02  time = 12866   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=10270]
### [bt]: Calculation finished!
