### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=1429]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 1429 (seed = 32844) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.22  time = 2640   
 10/200   risk = 0.18  time = 5778   
 15/200   risk = 0.14  time = 8864   
 20/200   risk = 0.12  time = 11982   
 25/200   risk = 0.11  time = 15021   
 30/200   risk = 0.094  time = 18048   
 35/200   risk = 0.085  time = 20899   
 40/200   risk = 0.078  time = 23764   
 45/200   risk = 0.073  time = 26640   
 50/200   risk = 0.069  time = 29702   
 55/200   risk = 0.066  time = 32795   
 60/200   risk = 0.063  time = 35897   
 65/200   risk = 0.061  time = 39161   
 70/200   risk = 0.059  time = 42375   
 75/200   risk = 0.058  time = 45494   
 80/200   risk = 0.056  time = 48664   
 85/200   risk = 0.055  time = 51848   
 90/200   risk = 0.054  time = 55248   
 95/200   risk = 0.053  time = 58478   
100/200   risk = 0.052  time = 61523   
105/200   risk = 0.052  time = 64541   
110/200   risk = 0.051  time = 67587   
115/200   risk = 0.05  time = 70715   
120/200   risk = 0.05  time = 73753   
125/200   risk = 0.049  time = 76946   
130/200   risk = 0.049  time = 80137   
135/200   risk = 0.048  time = 83105   
140/200   risk = 0.048  time = 86049   
145/200   risk = 0.047  time = 89159   
150/200   risk = 0.047  time = 92189   
155/200   risk = 0.047  time = 95455   
160/200   risk = 0.046  time = 98738   
165/200   risk = 0.046  time = 101960   
170/200   risk = 0.046  time = 105123   
175/200   risk = 0.046  time = 108448   
180/200   risk = 0.045  time = 111839   
185/200   risk = 0.045  time = 115181   
190/200   risk = 0.045  time = 118422   
195/200   risk = 0.045  time = 121648   
200/200   risk = 0.044  time = 125190   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.044


### [bt]: Job terminated successfully [batchtools job.id=1429]
### [bt]: Calculation finished!
