### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11928]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11928 (seed = 43343) ...
  1/200   risk = 0.077  time = 0   
  5/200   risk = 0.06  time = 2284   
 10/200   risk = 0.045  time = 5071   
 15/200   risk = 0.036  time = 7853   
 20/200   risk = 0.031  time = 10630   
 25/200   risk = 0.027  time = 13396   
 30/200   risk = 0.025  time = 16188   
 35/200   risk = 0.023  time = 19378   
 40/200   risk = 0.022  time = 22191   
 45/200   risk = 0.022  time = 24973   
 50/200   risk = 0.021  time = 27661   
 55/200   risk = 0.021  time = 30384   
 60/200   risk = 0.021  time = 33088   
 65/200   risk = 0.021  time = 35813   
 70/200   risk = 0.021  time = 38517   
 75/200   risk = 0.021  time = 41301   
 80/200   risk = 0.021  time = 44027   
 85/200   risk = 0.021  time = 46864   
 90/200   risk = 0.021  time = 49594   
 95/200   risk = 0.021  time = 52451   
100/200   risk = 0.02  time = 55238   
105/200   risk = 0.02  time = 57994   
110/200   risk = 0.02  time = 60711   
115/200   risk = 0.02  time = 63456   
120/200   risk = 0.02  time = 67330   
125/200   risk = 0.02  time = 70485   
130/200   risk = 0.02  time = 73570   
135/200   risk = 0.02  time = 78561   
140/200   risk = 0.02  time = 82203   
145/200   risk = 0.02  time = 85119   
150/200   risk = 0.02  time = 87784   
155/200   risk = 0.02  time = 90547   
160/200   risk = 0.02  time = 93250   
165/200   risk = 0.02  time = 95958   
170/200   risk = 0.02  time = 98616   
175/200   risk = 0.02  time = 101315   
180/200   risk = 0.02  time = 103962   
185/200   risk = 0.02  time = 106595   
190/200   risk = 0.02  time = 109272   
195/200   risk = 0.02  time = 111903   
200/200   risk = 0.02  time = 114540   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=11928]
### [bt]: Calculation finished!
