### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5719]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5719 (seed = 37134) ...
  1/200   risk = 0.26  time = 0   
  5/200   risk = 0.19  time = 752   
 10/200   risk = 0.13  time = 1160   
 15/200   risk = 0.095  time = 1502   
 20/200   risk = 0.071  time = 1879   
 25/200   risk = 0.055  time = 2216   
 30/200   risk = 0.045  time = 2548   
 35/200   risk = 0.037  time = 2885   
 40/200   risk = 0.033  time = 3219   
 45/200   risk = 0.029  time = 3556   
 50/200   risk = 0.027  time = 3893   
 55/200   risk = 0.026  time = 4230   
 60/200   risk = 0.024  time = 4569   
 65/200   risk = 0.024  time = 4922   
 70/200   risk = 0.023  time = 5353   
 75/200   risk = 0.022  time = 5926   
 80/200   risk = 0.022  time = 6515   
 85/200   risk = 0.022  time = 7092   
 90/200   risk = 0.022  time = 7668   
 95/200   risk = 0.021  time = 8301   
100/200   risk = 0.021  time = 8904   
105/200   risk = 0.021  time = 9478   
110/200   risk = 0.021  time = 10041   
115/200   risk = 0.021  time = 10597   
120/200   risk = 0.021  time = 11158   
125/200   risk = 0.021  time = 11719   
130/200   risk = 0.021  time = 12319   
135/200   risk = 0.021  time = 12912   
140/200   risk = 0.021  time = 13476   
145/200   risk = 0.021  time = 14067   
150/200   risk = 0.021  time = 14648   
155/200   risk = 0.021  time = 15228   
160/200   risk = 0.021  time = 15776   
165/200   risk = 0.021  time = 16324   
170/200   risk = 0.021  time = 16876   
175/200   risk = 0.021  time = 17425   
180/200   risk = 0.021  time = 17972   
185/200   risk = 0.021  time = 18528   
190/200   risk = 0.02  time = 19096   
195/200   risk = 0.02  time = 19638   
200/200   risk = 0.02  time = 20189   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=5719]
### [bt]: Calculation finished!
