### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10284]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10284 (seed = 41699) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.19  time = 304   
 10/200   risk = 0.13  time = 605   
 15/200   risk = 0.087  time = 906   
 20/200   risk = 0.063  time = 1231   
 25/200   risk = 0.047  time = 1546   
 30/200   risk = 0.038  time = 1861   
 35/200   risk = 0.032  time = 2178   
 40/200   risk = 0.028  time = 2495   
 45/200   risk = 0.026  time = 2813   
 50/200   risk = 0.025  time = 3131   
 55/200   risk = 0.024  time = 3630   
 60/200   risk = 0.023  time = 4120   
 65/200   risk = 0.023  time = 4594   
 70/200   risk = 0.022  time = 5065   
 75/200   risk = 0.022  time = 5551   
 80/200   risk = 0.022  time = 6031   
 85/200   risk = 0.022  time = 6515   
 90/200   risk = 0.022  time = 7011   
 95/200   risk = 0.022  time = 7500   
100/200   risk = 0.022  time = 7988   
105/200   risk = 0.022  time = 8478   
110/200   risk = 0.022  time = 8927   
115/200   risk = 0.022  time = 9268   
120/200   risk = 0.022  time = 9600   
125/200   risk = 0.022  time = 9944   
130/200   risk = 0.022  time = 10283   
135/200   risk = 0.022  time = 10617   
140/200   risk = 0.022  time = 10953   
145/200   risk = 0.022  time = 11288   
150/200   risk = 0.022  time = 11625   
155/200   risk = 0.022  time = 11966   
160/200   risk = 0.022  time = 12307   
165/200   risk = 0.022  time = 12648   
170/200   risk = 0.022  time = 12989   
175/200   risk = 0.022  time = 13342   
180/200   risk = 0.022  time = 13833   
185/200   risk = 0.022  time = 14364   
190/200   risk = 0.021  time = 14836   
195/200   risk = 0.021  time = 15200   
200/200   risk = 0.021  time = 15551   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=10284]
### [bt]: Calculation finished!
