### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11551]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11551 (seed = 42966) ...
  1/200   risk = 0.072  time = 0   
  5/200   risk = 0.057  time = 2522   
 10/200   risk = 0.045  time = 5396   
 15/200   risk = 0.037  time = 7653   
 20/200   risk = 0.032  time = 10013   
 25/200   risk = 0.028  time = 12235   
 30/200   risk = 0.026  time = 14513   
 35/200   risk = 0.025  time = 16875   
 40/200   risk = 0.024  time = 19272   
 45/200   risk = 0.023  time = 21710   
 50/200   risk = 0.023  time = 24125   
 55/200   risk = 0.022  time = 26475   
 60/200   risk = 0.022  time = 28867   
 65/200   risk = 0.022  time = 31664   
 70/200   risk = 0.022  time = 34094   
 75/200   risk = 0.022  time = 49396   
 80/200   risk = 0.021  time = 51597   
 85/200   risk = 0.021  time = 53830   
 90/200   risk = 0.021  time = 56095   
 95/200   risk = 0.021  time = 58371   
100/200   risk = 0.021  time = 70683   
105/200   risk = 0.021  time = 72644   
110/200   risk = 0.021  time = 74324   
115/200   risk = 0.021  time = 76022   
120/200   risk = 0.021  time = 77592   
125/200   risk = 0.021  time = 79377   
130/200   risk = 0.021  time = 90190   
135/200   risk = 0.021  time = 103271   
140/200   risk = 0.021  time = 105067   
145/200   risk = 0.021  time = 107085   
150/200   risk = 0.021  time = 120466   
155/200   risk = 0.021  time = 122171   
160/200   risk = 0.021  time = 123869   
165/200   risk = 0.021  time = 163387   
170/200   risk = 0.021  time = 165157   
175/200   risk = 0.021  time = 166815   
180/200   risk = 0.021  time = 172986   
185/200   risk = 0.021  time = 183031   
190/200   risk = 0.021  time = 184820   
195/200   risk = 0.021  time = 203789   
200/200   risk = 0.021  time = 205640   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=11551]
### [bt]: Calculation finished!
