### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9610]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9610 (seed = 41025) ...
  1/200   risk = 0.098  time = 0   
  5/200   risk = 0.075  time = 209   
 10/200   risk = 0.056  time = 401   
 15/200   risk = 0.044  time = 586   
 20/200   risk = 0.036  time = 774   
 25/200   risk = 0.031  time = 957   
 30/200   risk = 0.028  time = 1142   
 35/200   risk = 0.025  time = 1331   
 40/200   risk = 0.024  time = 1521   
 45/200   risk = 0.023  time = 1714   
 50/200   risk = 0.022  time = 1910   
 55/200   risk = 0.022  time = 2134   
 60/200   risk = 0.022  time = 2335   
 65/200   risk = 0.021  time = 2531   
 70/200   risk = 0.021  time = 2734   
 75/200   risk = 0.021  time = 2919   
 80/200   risk = 0.021  time = 3104   
 85/200   risk = 0.021  time = 3292   
 90/200   risk = 0.021  time = 3482   
 95/200   risk = 0.021  time = 3670   
100/200   risk = 0.021  time = 3858   
105/200   risk = 0.021  time = 4051   
110/200   risk = 0.021  time = 4241   
115/200   risk = 0.021  time = 4442   
120/200   risk = 0.021  time = 4633   
125/200   risk = 0.021  time = 4829   
130/200   risk = 0.021  time = 5035   
135/200   risk = 0.021  time = 5236   
140/200   risk = 0.021  time = 5446   
145/200   risk = 0.021  time = 5652   
150/200   risk = 0.021  time = 5849   
155/200   risk = 0.021  time = 6047   
160/200   risk = 0.021  time = 6246   
165/200   risk = 0.021  time = 6445   
170/200   risk = 0.021  time = 6649   
175/200   risk = 0.02  time = 6850   
180/200   risk = 0.02  time = 7076   
185/200   risk = 0.02  time = 7287   
190/200   risk = 0.02  time = 7527   
195/200   risk = 0.02  time = 7744   
200/200   risk = 0.02  time = 7967   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=9610]
### [bt]: Calculation finished!
