### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5936]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5936 (seed = 37351) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.2  time = 9003   
 10/200   risk = 0.14  time = 19283   
 15/200   risk = 0.098  time = 28053   
 20/200   risk = 0.073  time = 35017   
 25/200   risk = 0.056  time = 42034   
 30/200   risk = 0.046  time = 49987   
 35/200   risk = 0.038  time = 57519   
 40/200   risk = 0.034  time = 64465   
 45/200   risk = 0.03  time = 73345   
 50/200   risk = 0.028  time = 80784   
 55/200   risk = 0.026  time = 89357   
 60/200   risk = 0.025  time = 96471   
 65/200   risk = 0.024  time = 107575   
 70/200   risk = 0.024  time = 114655   
 75/200   risk = 0.023  time = 121567   
 80/200   risk = 0.023  time = 130258   
 85/200   risk = 0.023  time = 139460   
 90/200   risk = 0.023  time = 146749   
 95/200   risk = 0.022  time = 153908   
100/200   risk = 0.022  time = 162366   
105/200   risk = 0.022  time = 170617   
110/200   risk = 0.022  time = 179270   
115/200   risk = 0.022  time = 187469   
120/200   risk = 0.022  time = 194701   
125/200   risk = 0.022  time = 201654   
130/200   risk = 0.022  time = 209259   
135/200   risk = 0.022  time = 216294   
140/200   risk = 0.022  time = 223551   
145/200   risk = 0.022  time = 229809   
150/200   risk = 0.022  time = 237030   
155/200   risk = 0.022  time = 243590   
160/200   risk = 0.022  time = 250473   
165/200   risk = 0.022  time = 257909   
170/200   risk = 0.021  time = 264234   
175/200   risk = 0.021  time = 272313   
180/200   risk = 0.021  time = 278833   
185/200   risk = 0.021  time = 286624   
190/200   risk = 0.021  time = 293878   
195/200   risk = 0.021  time = 301294   
200/200   risk = 0.021  time = 308190   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=5936]
### [bt]: Calculation finished!
